,Title,LCCN,Start_Date,End_Date,Town,State,LatLong,X1880_Population
536,Richmond palladium.,sn82016416,1831-01-08,1837-06-14,Richmond,Indiana,"39.8289369, -84.8902382",NA
537,Richmond weekly palladium.,sn84038015,1875-12-09,1875-12-09,Richmond,Indiana,"39.8289369, -84.8902382",NA
538,Semi-weekly independent.,sn87056250,1895-12-04,1896-04-25,Plymouth,Indiana,"41.3436554, -86.3097278",NA
539,South Bend news-times.,sn87055779,7/1/1913,12/31/1922,South Bend,Indiana,"41.6763545, -86.2519898",NA
540,Tri-weekly journal.,sn86058890,1847-05-15,1848-03-09,Evansville,Indiana,"37.9715592, -87.5710898",29280
541,Wabash express.,sn82016350,1856-07-23,1861-01-23,Terre-Haute,Indiana,"39.4667034, -87.4139092",NA
542,Weekly Indiana State sentinel.,sn82014286,1855-02-10,1860-01-02,Indianapolis,Indiana,"39.768403, -86.158068",75056
543,The weekly Republican.,sn87056245,1/12/1911,5/2/1912,Plymouth,Indiana,"41.3436554, -86.3097278",NA
544,Winchester journal.,sn86058543,1862-10-03,1863-11-20,Winchester,Indiana,"40.1719892, -84.9813549",NA
545,The Winchester journal.,sn84038255,1870-06-09,1870-07-28,Winchester,Indiana,"40.1719892, -84.9813549",NA
546,Audubon County journal.,sn87057934,1897-01-28,12/29/1921,Exira,Iowa,"41.591156, -94.8763141",NA
547,Bloomington herald.,sn85050801,1840-12-11,1848-12-23,Bloomington,Iowa,"40.6681682, -93.9674371",NA
548,Buchanan County bulletin and guardian.,sn87058351,1867-01-01,1869-03-12,Independence,Iowa,"42.4685978, -91.8893386",NA
549,Buchanan County bulletin.,sn84027186,1869-04-02,1878-12-27,Independence,Iowa,"42.4685978, -91.8893386",NA
550,The Buchanan County guardian.,sn87058348,1858-08-05,1864-05-31,Independence,Iowa,"42.4685978, -91.8893386",NA
551,Burlington hawk-eye.,sn82014327,1845-05-29,1851-12-25,Burlington,Iowa,"40.8076529, -91.1128901",NA
552,Burlington tri-weekly hawk-eye.,sn85049817,1854-09-19,1855-06-25,Burlington,Iowa,"40.8076529, -91.1128901",NA
553,Burlington weekly hawk-eye.,sn84027060,1860-01-14,1865-06-24,Burlington,Iowa,"40.8076529, -91.1128901",NA
554,The Burlington weekly hawk-eye.,sn86060019,1857-07-08,1858-01-05,Burlington,Iowa,"40.8076529, -91.1128901",NA
555,The bystander.,sn85049804,1/21/1916,12/31/1921,Des Moines,Iowa,"41.5868353, -93.6249593",22408
556,The Cedar County advertiser.,sn85049614,1853-12-03,1856-01-19,Tipton,Iowa,"41.7697434, -91.1279349",NA
557,The Cedar County news-letter.,sn85049620,1853-11-12,1853-11-26,Tipton,Iowa,"41.7697434, -91.1279349",NA
558,Cedar Falls gazette.,sn83025161,1860-03-16,1871-12-29,Cedar Falls,Iowa,"42.5348993, -92.4453161",NA
559,Charles City intelligencer.,sn84038074,1864-06-02,1866-05-31,Charles City,Iowa,"43.0663612, -92.6724112",NA
560,Charles City Republican intelligencer.,sn82014140,1861-09-26,1864-05-26,Charles City,Iowa,"43.0663612, -92.6724112",NA
561,Council Bluffs bugle.,sn82014139,1855-01-02,1856-04-08,City of Council Bluffs,Iowa,"41.2619444, -95.8608333",NA
562,The Council Bluffs nonpareil.,sn84027096,1857-05-02,1865-04-08,Council Bluffs,Iowa,"41.2619444, -95.8608333",NA
563,Cresco plain dealer.,sn87058075,2/7/1913,12/31/1920,Cresco,Iowa,"43.3813568, -92.1140547",NA
564,Daily Davenport Democrat.,sn83045646,1864-04-20,1869-03-17,Davenport,Iowa,"41.5236437, -90.5776367",21831
565,Daily Democrat and news.,sn82015737,1859-10-11,1864-04-19,Davenport,Iowa,"41.5236437, -90.5776367",21831
566,The daily Gate City and constitution-Democrat.,sn87057262,4/3/1916,12/18/1920,Keokuk,Iowa,"40.4044731, -91.3963966",NA
567,The daily Gate City.,sn83025182,1855-05-10,4/2/1916,Keokuk,Iowa,"40.4044731, -91.3963966",NA
568,Daily Iowa State Democrat.,sn82014134,1856-07-04,1859-10-09,Davenport,Iowa,"41.5236437, -90.5776367",21831
569,The Davenport gazette.,sn82014073,1847-08-26,1854-08-31,Davenport,Iowa,"41.5236437, -90.5776367",21831
570,Der Demokrat.,sn87058145,1862-07-03,1865-12-28,Davenport,Iowa,"41.5236437, -90.5776367",21831
571,The Denison review.,sn84038095,1898-08-02,11/24/1920,Denison,Iowa,"42.024988, -95.3588867",NA
572,Des Moines courier.,sn86081965,1849-11-02,1854-06-15,Ottumwa] Iowa,Iowa,"41.0160293, -92.4083022",NA
573,Du Buque visitor.,sn83025196,1836-05-11,1837-05-17,Dubuque,Iowa,"42.5005583, -90.6645718",22254
574,Evening times-Republican.,sn85049554,1899-08-01,12/31/1920,Marshalltown,Iowa,"42.0494674, -92.9080375",NA
575,The Hawk-eye and Iowa patriot.,sn83016802,1839-09-05,1841-05-27,Burlington,Iowa,"40.8076529, -91.1128901",NA
576,Hawk-eye.,sn85049816,1843-09-30,1845-03-13,Burlington,Iowa,"40.8076529, -91.1128901",NA
577,Iowa capitol reporter.,sn82014116,1846-01-21,1855-05-23,Iowa City,Iowa,"41.6611277, -91.5301683",NA
578,Iowa news.,sn82015686,1837-06-03,1838-06-16,Dubuque,Iowa,"42.5005583, -90.6645718",22254
579,The Iowa patriot.,sn82014130,1839-06-06,1839-08-29,Burlington,Iowa,"40.8076529, -91.1128901",NA
580,The Iowa plain dealer.,sn83025167,1867-05-17,1872-12-27,New Oregon,Iowa,"43.2904682, -92.1253854",NA
581,Iowa state bystander.,sn83025186,1894-06-15,1/14/1916,Des Moines,Iowa,"41.5868353, -93.6249593",22408
582,Iowa territorial gazette and advertiser.,sn84037932,1842-07-16,1846-05-30,Burlington,Iowa,"40.8076529, -91.1128901",NA
583,The Iowa transcript.,sn87058318,1859-02-03,1866-11-09,Toledo,Iowa,"41.9972134, -92.5835266",NA
584,Iowa voter.,sn84027183,1869-06-17,1874-06-04,Knoxville,Iowa,"41.320343, -93.09967",NA
585,Knoxville journal.,sn82015854,1874-06-11,1877-02-14,Knoxville,Iowa,"41.320343, -93.09967",NA
586,The Leon reporter.,sn87057096,1899-12-07,6/24/1920,Leon,Iowa,"40.739724, -93.7477217",NA
587,Manchester Democrat.,sn84038306,1899-03-01,12/28/1921,Manchester,Iowa,"42.4857853, -91.4579698",NA
588,The miners' express.,sn86083363,1849-04-24,1854-10-25,Dubuque,Iowa,"42.5005583, -90.6645718",22254
589,Missouri Valley times.,sn84038335,1899-01-05,12/30/1920,Missouri Valley,Iowa,"41.5563713, -95.8877767",NA
590,Muscatine journal.,sn88059754,1853-06-03,1854-05-13,Bloomington,Iowa,"40.6681682, -93.9674371",NA
591,Muscatine weekly journal.,sn84027253,1857-08-01,1864-12-30,Muscatine,Iowa,"41.424473, -91.0432051",NA
592,New Oregon plaindealer.,sn87058042,1859-08-20,1866-08-31,New Oregon,Iowa,"43.2904682, -92.1253854",NA
593,North Iowa times.,sn84027239,1867-02-27,1870-07-27,McGregor,Iowa,"43.0246813, -91.1812468",NA
594,The north Iowa times.,sn84027237,1856-10-10,1857-10-07,M&#39;Gregor,Iowa,"41.8780025, -93.097702",NA
595,Ottumwa semi-weekly courier.,sn86061216,9/29/1916,6/4/1918,Ottumwa,Iowa,"41.0160293, -92.4083022",NA
596,Ottumwa semi-weekly courier.,sn86061214,1899-07-27,10/15/1903,Ottumwa,Iowa,"41.0160293, -92.4083022",NA
597,Ottumwa tri-weekly courier.,sn86061215,10/20/1903,9/26/1916,Ottumwa,Iowa,"41.0160293, -92.4083022",NA
598,Quasqueton guardian.,sn88059517,1856-12-13,1858-07-22,Quasqueton,Iowa,"42.394432, -91.7610035",NA
599,Sioux City register.,sn84031042,1858-07-29,1868-01-11,Sioux City,Iowa,"42.4963416, -96.4049408",NA
600,St. Charles City Republican intelligencer.,sn82014141,1857-10-08,1861-09-19,St. Charles City,Iowa,"41.2883257, -93.8093887",NA
601,St. Charles Republican intelligencer.,sn88059487,1856-07-31,1857-09-24,St. Charles,Iowa,"41.2883257, -93.8093887",NA
602,Tama County Republican.,sn87058333,1867-01-04,1872-12-26,Toledo,Iowa,"41.9972134, -92.5835266",NA
603,Der ta������gliche Demokrat.,sn84027107,7/1/1915,9/7/1918,Davenport,Iowa,"41.5236437, -90.5776367",21831
604,The Tipton advertiser.,sn84027398,1856-01-26,1871-12-21,Tipton,Iowa,"41.7697434, -91.1279349",NA
605,The Toledo chronicle.,sn84038485,1873-01-02,1878-05-30,Toledo,Iowa,"41.9972134, -92.5835266",NA
606,Twice-a-week plain dealer.,sn88059319,1895-09-03,1/31/1913,Cresco,Iowa,"43.3813568, -92.1140547",NA
607,Webster City freeman.,sn85050913,7/11/1911,5/29/1922,Webster City,Iowa,"42.4694321, -93.8159149",NA
608,Weekly hawk-eye and telegraph.,sn84037930,1855-07-04,1857-07-01,Burlington,Iowa,"40.8076529, -91.1128901",NA
609,The weekly hawk-eye.,sn85049908,1858-01-12,1860-01-07,Burlington,Iowa,"40.8076529, -91.1128901",NA
610,Weekly miners' express.,sn86083352,1847-09-15,1849-04-17,DuBuque,Iowa,"42.5005583, -90.6645718",NA
611,Weekly New Oregon plain dealer.,sn87058043,1866-09-07,1867-05-10,New Oregon,Iowa,"43.2904682, -92.1253854",NA
612,The Weekly north Iowa times.,sn84027238,1857-10-14,1867-02-20,McGregor,Iowa,"43.0246813, -91.1812468",NA
613,The Weekly Ottumwa courier.,sn84027352,1857-01-01,1866-05-31,Ottumwa,Iowa,"41.0160293, -92.4083022",NA
614,The Abilene reflector.,sn84029385,1883-09-06,1888-04-26,Abilene,Kansas,"38.9172216, -97.2139094",NA
615,Abilene weekly reflector.,sn84029386,1888-05-03,12/28/1922,Abilene,Kansas,"38.9172216, -97.2139094",NA
616,The Advocate and news.,sn85032019,1897-11-24,1899-04-12,Topeka,Kansas,"39.0473451, -95.6751576",NA
617,The advocate and Topeka tribune.,sn85031982,1892-07-27,1894-01-10,Topeka,Kansas,"39.0473451, -95.6751576",NA
618,The advocate.,sn85032018,1894-01-17,1897-11-17,Topeka,Kansas,"39.0473451, -95.6751576",NA
619,The advocate.,sn85029079,1889-08-10,1892-07-20,Meriden,Kansas,"39.1888874, -95.5697001",NA
620,Barbour County index.,sn82015080,1880-12-16,12/28/1910,Medicine Lodge,Kansas,"37.2811339, -98.580361",NA
621,Barton County democrat.,sn83040198,1886-11-11,2/12/1915,Great Bend,Kansas,"38.3644567, -98.7648073",NA
622,Baxter Springs news.,sn83040592,1890-01-04,7/25/1919,Baxter Springs,Kansas,"37.0236759, -94.7355042",NA
623,The Big blue union.,sn84027640,1862-03-29,1866-05-19,Marysville,Kansas,"39.8411129, -96.647242",NA
624,The Chanute times.,sn85030529,1897-01-01,7/19/1913,Chanute,Kansas,"37.6792135, -95.4572034",NA
625,The daily eagle.,sn83045705,1884-05-20,1884-06-07,Wichita,Kansas,"37.6871761, -97.330053",NA
626,Dodge City times.,sn84029838,1876-10-14,1891-12-18,Dodge City,Kansas,"37.7527982, -100.0170787",NA
627,The Emporia news.,sn82016419,1859-08-13,1881-06-09,Emporia,Kansas,"38.403903, -96.1816626",NA
628,The Emporia weekly news.,sn85030221,1881-06-16,1889-12-19,Emporia,Kansas,"38.403903, -96.1816626",NA
629,Free press.,sn84029696,1899-01-07,6/6/1908,Hays,Kansas,"38.8791783, -99.3267702",NA
630,Freeman's champion.,sn95063180,1857-06-25,1858-09-16,Prairie City,Kansas,"38.76777, -95.2095366",NA
631,The Globe-republican.,sn84029853,1889-10-23,6/16/1910,Dodge City,Kansas,"37.7527982, -100.0170787",NA
632,The Goodland republic.,sn85030821,1891-10-16,5/31/1907,Goodland,Kansas,"39.350833, -101.7101722",NA
633,The Hays free press.,sn84029690,6/13/1908,10/26/1922,Hays,Kansas,"38.8791783, -99.3267702",NA
634,Hutchinson gazette.,sn85030687,1895-01-17,2/27/1902,Hutchinson,Kansas,"38.0608445, -97.9297743",NA
635,The independent.,sn85029094,1860-07-11,1865-12-30,Oskaloosa,Kansas,"39.215277, -95.3127498",NA
636,The Iola register.,sn83040340,1875-01-02,8/22/1902,Iola,Kansas,"37.9244799, -95.3999814",NA
637,Kansas agitator.,sn83040052,1890-06-07,5/19/1905,Garnett,Kansas,"38.2805772, -95.2419192",NA
638,The Kansas herald of freedom.,sn82006863,1854-10-21,1859-12-17,Wakarusa,Kansas,"38.8856935, -95.6960344",NA
639,Kansas weekly herald.,sn85029297,1854-09-15,1855-09-08,Leavenworth,Kansas,"39.3111112, -94.9224637",NA
640,The Kanzas news.,sn85030219,1857-06-06,1859-08-06,Emporia,Kansas,"38.403903, -96.1816626",NA
641,The Kinsley graphic.,sn84029671,1890-05-23,7/29/1904,Kinsley,Kansas,"37.9230724, -99.4098384",NA
642,The Leavenworth weekly times.,sn84027691,1870-07-07,1880-01-01,Leavenworth,Kansas,"39.3111112, -94.9224637",NA
643,The Liberal democrat.,sn85029856,1/6/1911,12/28/1922,Liberal,Kansas,"37.0430812, -100.920999",NA
644,Meade County news.,sn85030287,1/11/1900,10/3/1918,Meade,Kansas,"37.2855796, -100.3401456",NA
645,People's voice.,sn85032801,1892-04-01,12/27/1900,Wellington,Kansas,"37.2653004, -97.3717118",NA
646,Phillipsburg herald.,sn85029677,1882-09-07,4/13/1905,Phillipsburg,Kansas,"39.7561206, -99.3239853",NA
647,The Saline County journal.,sn84027670,1871-03-02,1893-03-09,Salina,Kansas,"38.8402805, -97.6114237",NA
648,The Smoky Hill and Republican union.,sn84030186,1861-09-12,1864-11-19,Junction City,Kansas,"39.0286093, -96.8313978",NA
649,Squatter sovereign.,sn82015827,1855-02-03,1857-12-05,Atchison,Kansas,"39.5630521, -95.1216356",NA
650,Thomas County cat.,sn85032814,1885-03-12,1891-02-05,Colby,Kansas,"39.3958369, -101.0523773",NA
651,The Topeka state journal.,sn82016014,1894-01-01,12/30/1922,Topeka,Kansas,"39.0473451, -95.6751576",NA
652,The Weekly Kansas chief.,sn82015484,1872-07-11,1883-05-31,Troy,Kansas,"39.7888604, -95.0924081",NA
653,Western Kansas world.,sn82015485,1885-03-21,9/29/1921,WaKeeney,Kansas,"39.0250082, -99.8795656",NA
654,White Cloud Kansas chief.,sn82015486,1857-06-04,1872-07-04,White Cloud,Kansas,"39.9763876, -95.2969223",NA
655,The Wichita city eagle.,sn85032573,1872-04-12,1883-04-12,Wichita,Kansas,"37.6871761, -97.330053",NA
656,The Wichita daily eagle.,sn82014635,1890-03-18,5/29/1904,Wichita,Kansas,"37.6871761, -97.330053",NA
657,Wichita daily eagle.,sn83045789,1884-06-08,1886-08-17,Wichita,Kansas,"37.6871761, -97.330053",NA
658,Wichita eagle.,sn85032490,1886-08-18,1890-03-16,Wichita,Kansas,"37.6871761, -97.330053",NA
659,Wichita eagle.,sn85032575,1883-04-19,1885-11-27,Wichita,Kansas,"37.6871761, -97.330053",NA
660,The Adair County news.,sn86069496,1/3/1900,12/26/1922,Columbia,Kentucky,"37.102841, -85.3063504",NA
661,American Baptist.,sn93062854,4/10/1903,12/23/1904,Louisville,Kentucky,"38.2526647, -85.7584557",123758
662,The bee.,sn87060004,1892-04-28,12/29/1916,Earlington,Kentucky,"37.2742117, -87.5119435",NA
663,The Big Sandy news.,sn83004226,1885-08-27,12/29/1922,Louisa,Kentucky,"38.1142544, -82.6032119",NA
664,Blue-grass blade.,sn86069867,1886-02-06,8/21/1910,Lexington,Kentucky,"38.0405837, -84.5037164",NA
665,The Bourbon news.,sn86069873,1897-01-01,12/29/1922,Paris,Kentucky,"38.2097987, -84.2529869",NA
666,The Bourbon news.,sn86069871,1882-03-07,1883-07-31,Millersburg,Kentucky,"38.30202, -84.1474297",NA
667,Breathitt County news.,sn86069667,5/29/1903,9/3/1909,Jackson,Kentucky,"37.5531457, -83.3835135",NA
668,The Breckenridge news.,sn86069309,1878-07-17,6/22/1921,Cloverport,Kentucky,"37.8333901, -86.6327615",NA
669,The central record.,sn86069201,1898-01-07,12/28/1922,Lancaster,Kentucky,"37.6195246, -84.5779957",NA
670,The citizen.,sn85052076,1899-06-21,12/28/1922,Berea,Kentucky,"37.568694, -84.2963223",NA
671,The Clay City times.,sn86069657,11/28/1901,12/28/1922,Clay City,Kentucky,"37.8592479, -83.9185323",NA
672,The Climax-Madisonian.,sn86069164,10/7/1914,4/18/1917,Richmond,Kentucky,"37.7478572, -84.2946539",NA
673,The climax.,sn86069161,1887-06-22,1897-03-03,Richmond,Kentucky,"37.7478572, -84.2946539",NA
674,The Crittenden press.,sn86069461,8/7/1919,12/22/1922,Marion,Kentucky,"37.3328286, -88.0811349",NA
675,Crittenden press.,sn86069457,1886-03-18,2/7/1907,Marion,Kentucky,"37.3328286, -88.0811349",NA
676,Crittenden record-press.,sn86069460,9/23/1909,8/29/1918,Marion,Kentucky,"37.3328286, -88.0811349",NA
677,The Crittenden record.,sn86069456,7/15/1904,2/8/1907,Marion,Kentucky,"37.3328286, -88.0811349",NA
678,Crittenden record=press.,sn86069458,2/14/1907,8/5/1909,Marion,Kentucky,"37.3328286, -88.0811349",NA
679,Daily evening bulletin.,sn86069124,1881-11-23,1882-02-17,Maysville,Kentucky,"38.6411854, -83.744365",NA
680,Daily evening bulletin.,sn87060189,1883-03-26,1887-11-01,Maysville,Kentucky,"38.6411854, -83.744365",NA
681,The daily Kentuckian.,sn86069396,1898-04-29,1898-08-13,Hopkinsville,Kentucky,"36.8656008, -87.4886186",NA
682,Daily Kentuckian.,sn86069397,3/9/1918,8/29/1918,Hopkinsville,Kentucky,"36.8656008, -87.4886186",NA
683,Daily public ledger.,sn86069117,1892-04-06,12/20/1912,Maysville,Kentucky,"38.6411854, -83.744365",NA
684,Daily south Kentuckian.,sn86069393,1884-10-01,1885-10-03,Hopkinsville,Kentucky,"36.8656008, -87.4886186",NA
685,The dollar weekly bulletin.,sn86069123,1862-06-19,1864-04-28,Maysville,Kentucky,"38.6411854, -83.744365",NA
686,Evening bulletin.,sn86069125,1882-02-18,1883-03-24,Maysville,Kentucky,"38.6411854, -83.744365",NA
687,The evening bulletin.,sn87060190,1887-11-02,12/31/1904,Maysville,Kentucky,"38.6411854, -83.744365",NA
688,The examiner.,sn82015050,1847-06-19,1849-12-08,Louisville,Kentucky,"38.2526647, -85.7584557",123758
689,The Frankfort roundabout.,sn86069848,1882-09-23,2/29/1908,Frankfort,Kentucky,"38.2009055, -84.8732835",NA
690,Frankfort weekly news and roundabout.,sn86069849,3/7/1908,9/5/1908,Frankfort,Kentucky,"38.2009055, -84.8732835",NA
691,The Hartford herald.,sn84037890,1875-01-06,12/27/1922,Hartford,Kentucky,"37.4511591, -86.9091596",NA
692,The Hartford republican.,sn86069313,1891-12-18,12/29/1922,Hartford,Kentucky,"37.4511591, -86.9091596",NA
693,The Hazel Green herald.,sn86063242,1885-03-04,7/26/1917,Hazel Green,Kentucky,"37.797587, -83.4165715",NA
694,The Hickman courier.,sn85052141,1868-04-18,12/21/1922,Hickman,Kentucky,"36.5711721, -89.1861791",NA
695,Hopkinsville Kentuckian.,sn86069395,1889-01-11,3/7/1918,Hopkinsville,Kentucky,"36.8656008, -87.4886186",NA
696,The interior journal.,sn84038328,1872-03-08,1881-12-16,Stanford,Kentucky,"37.5311901, -84.6618876",NA
697,The interior journal.,sn85052021,4/7/1905,12/27/1910,Stanford,Kentucky,"37.5311901, -84.6618876",NA
698,The interior journal.,sn85052023,3/26/1912,11/15/1918,Stanford,Kentucky,"37.5311901, -84.6618876",NA
699,It.,sn86069240,11/27/1902,2/19/1903,Lawrenceburg,Kentucky,"38.0372967, -84.8966171",NA
700,The Kentuckian.,sn86069398,4/5/1919,12/25/1919,Hopkinsville,Kentucky,"36.8656008, -87.4886186",NA
701,Kentucky Irish American.,sn86069180,1898-07-04,12/31/1921,Louisville,Kentucky,"38.2526647, -85.7584557",123758
702,The Kentucky register.,sn86069167,10/27/1916,4/13/1917,Richmond,Kentucky,"37.7478572, -84.2946539",NA
703,Kentucky reporter.,sn86069325,3/22/1902,3/22/1902,Owensboro,Kentucky,"37.7719074, -87.1111676",NA
704,The Kentucky vindicator.,sn2007058208,6/26/1901,6/26/1901,Owenboro,Kentucky,"37.7719074, -87.1111676",NA
705,The Lexington record.,sn86069074,1890-10-01,1891-05-01,Lexington,Kentucky,"38.0405837, -84.5037164",NA
706,The Lexington standard.,sn83025729,1/27/1900,12/16/1911,Lexington,Kentucky,"38.0405837, -84.5037164",NA
707,Lexington weekly news.,sn86069070,3/15/1912,8/17/1912,Lexington,Kentucky,"38.0405837, -84.5037164",NA
708,Liberty.,sn88061275,2/16/1910,2/16/1910,La Center,Kentucky,"37.0767199, -88.9736762",NA
709,Licking Valley courier.,sn86069643,1/5/1911,12/28/1922,West Liberty,Kentucky,"37.9214758, -83.2596216",NA
710,The Madisonian.,sn86069163,1/1/1913,9/29/1914,Richmond,Kentucky,"37.7478572, -84.2946539",NA
711,Maysville weekly bulletin.,sn84038223,1864-05-06,1864-10-27,Maysville,Kentucky,"38.6411854, -83.744365",NA
712,Mount Vernon signal.,sn86069561,1896-12-11,12/15/1922,Mt. Vernon,Kentucky,"37.3528615, -84.3404919",NA
713,Mountain advocate.,sn87060032,2/19/1904,12/29/1922,Barbourville,Kentucky,"36.8664765, -83.8888138",NA
714,The mountain signal.,sn86069560,1888-02-24,1889-05-03,Mount Vernon,Kentucky,"37.3528615, -84.3404919",NA
715,The Mt. Sterling advocate.,sn86069675,1891-02-03,12/28/1922,Mt. Sterling,Kentucky,"38.0564679, -83.9432556",NA
716,"Ohio valley worker : official paper of the Federated Trades Council of Louisville, Trades and Labor Council of New Albany, Central Labor Union of Jeffersonville.",sn2007058207,9/10/1904,9/10/1904,Louisville,Kentucky,"38.2526647, -85.7584557",123758
717,Owingsville outlook.,sn86069620,1884-08-28,11/30/1922,Owingsville,Kentucky,"38.1448015, -83.7640847",NA
718,The Paducah daily sun.,sn85052118,1896-11-09,1898-12-14,Paducah,Kentucky,"37.0833893, -88.6000478",NA
719,The Paducah evening sun.,sn85052114,5/17/1906,12/31/1910,Paducah,Kentucky,"37.0833893, -88.6000478",NA
720,The Paducah sun.,sn85052116,1898-12-15,5/16/1906,Paducah,Kentucky,"37.0833893, -88.6000478",NA
721,Paducah sun.,sn85052117,1/10/1901,6/4/1902,Paducah,Kentucky,"37.0833893, -88.6000478",NA
722,The Paducah weekly sun.,sn85052115,9/5/1906,12/26/1906,Paducah,Kentucky,"37.0833893, -88.6000478",NA
723,The public ledger.,sn85038022,1/5/1914,12/30/1922,Maysville,Kentucky,"38.6411854, -83.744365",NA
724,The record.,sn87060049,1899-02-09,12/9/1920,Greenville,Kentucky,"37.2011539, -87.1788854",NA
725,The Richmond climax.,sn86069162,1897-03-10,9/30/1914,Richmond,Kentucky,"37.7478572, -84.2946539",NA
726,The Richmond climax.,sn86069165,10/31/1917,10/31/1917,Richmond,Kentucky,"37.7478572, -84.2946539",NA
727,Richmond daily register.,sn86069168,1/18/1918,12/22/1922,Richmond,Kentucky,"37.7478572, -84.2946539",NA
728,Semi-weekly Bourbon news.,sn86069872,1883-08-03,1883-12-25,Paris,Kentucky,"38.2097987, -84.2529869",NA
729,Semi-weekly interior journal.,sn85052020,1881-12-20,4/4/1905,Stanford,Kentucky,"37.5311901, -84.6618876",NA
730,Semi-weekly south Kentuckian.,sn86069394,1883-11-09,1889-01-08,Hopkinsville,Kentucky,"36.8656008, -87.4886186",NA
731,The south Kentuckian.,sn86069392,1879-02-18,1883-10-30,Hopkinsville,Kentucky,"36.8656008, -87.4886186",NA
732,The Spout Spring times.,sn88061168,1896-01-18,4/17/1902,Spout Spring,Kentucky,"37.8270255, -83.9746454",NA
733,The Stanford interior journal.,sn85052022,1/6/1911,3/22/1912,Stanford,Kentucky,"37.5311901, -84.6618876",NA
734,The Sunday chat.,sn85052182,3/31/1901,6/9/1901,Paducah,Kentucky,"37.0833893, -88.6000478",NA
735,Twice-a-week record-press.,sn86069459,8/10/1909,9/17/1909,Marion,Kentucky,"37.3328286, -88.0811349",NA
736,The Weekly roundabout.,sn86069847,1879-01-11,1882-12-30,Frankfort,Kentucky,"38.2009055, -84.8732835",NA
737,The Winchester news.,sn86069133,10/12/1908,2/29/1912,Winchester,Kentucky,"37.990079, -84.1796503",NA
738,Abbeville progress.,sn88064057,3/1/1913,12/31/1921,Abbeville,Louisiana,"29.9746502, -92.1342921",NA
739,The American patriot.,sn88064450,1854-12-27,1856-01-12,Clinton,Louisiana,"30.8657362, -91.0156594",NA
740,The Avoyelles pelican.,sn89059000,1861-03-16,1864-01-16,Marksville,Louisiana,"31.1279652, -92.0662356",NA
741,The Banner-Democrat.,sn88064237,1892-08-06,9/15/1909,Lake Providence,Louisiana,"32.8042966, -91.170109",NA
742,Baton Rouge tri-weekly gazette & comet.,sn86053661,1865-07-01,1869-06-10,Baton Rouge,Louisiana,"30.4514677, -91.1871466",NA
743,Baton-Rouge gazette.,sn82003383,1837-06-10,1853-01-29,Baton-Rouge,Louisiana,"30.4514677, -91.1871466",NA
744,The Bienville Democrat.,sn88064069,4/3/1919,12/28/1922,Arcadia,Louisiana,"32.5490406, -92.920158",NA
745,Bogalusa enterprise and American.,sn88064055,7/4/1918,12/28/1922,Bogalusa,Louisiana,"30.7910204, -89.8486858",NA
746,Bogalusa enterprise.,sn88064054,12/31/1914,12/28/1916,Bogalusa,Louisiana,"30.7910204, -89.8486858",NA
747,The Bossier banner.,sn85034235,1859-07-01,12/28/1922,Bellevue,Louisiana,"32.6732024, -93.5221189",NA
748,The Caldwell watchman.,sn88064181,1894-03-23,12/29/1916,Columbia,Louisiana,"32.1051567, -92.0779129",NA
749,The Carrollton sun.,sn88064165,1860-06-30,1861-06-01,City of Carrollton,Louisiana,"29.9393052, -90.1214235",NA
750,The Caucasian.,sn88064469,11/25/1900,1/16/1920,Shreveport,Louisiana,"32.5251516, -93.7501789",NA
751,The Caucasian.,sn86053765,1874-04-04,1875-03-27,Alexandria,Louisiana,"31.3112936, -92.4451371",NA
752,Claiborne guardian.,sn88064118,1877-08-22,1883-01-16,Homer,Louisiana,"32.7918133, -93.055718",NA
753,The Colfax chronicle.,sn88064176,1877-11-09,12/30/1922,Colfax,Louisiana,"31.5190623, -92.706816",NA
754,The Colfax chronicle.,sn88064175,1876-07-15,1877-09-15,Colfax,Louisiana,"31.5190623, -92.706816",NA
755,The Comrade.,sn88064358,1894-12-13,9/8/1911,Winnfield,Louisiana,"31.9254413, -92.6395931",NA
756,The Concordia eagle.,sn83016716,1875-10-02,1885-07-04,Vidalia,Louisiana,"31.5654441, -91.4259495",NA
757,The Concordia sentinel.,sn87090135,9/9/1911,12/31/1921,Vidalia,Louisiana,"31.5654441, -91.4259495",NA
758,The Constitutional.,sn85038570,1860-08-04,1861-06-01,Alexandria,Louisiana,"31.3112936, -92.4451371",NA
759,The daily comet.,sn83016548,1852-09-01,1856-02-02,Baton Rouge,Louisiana,"30.4514677, -91.1871466",NA
760,The daily crescent.,sn82015378,1848-03-05,1851-12-20,New Orleans,Louisiana,"29.9510658, -90.0715323",216090
761,Daily gazette and comet.,sn88083120,1860-01-03,1860-12-29,Baton Rouge,Louisiana,"30.4514677, -91.1871466",NA
762,The Daily telegraph.,sn88064499,1870-12-13,1886-07-05,Monroe,Louisiana,"32.5093109, -92.1193012",NA
763,The Donaldsonville chief.,sn85034248,1871-09-16,12/30/1922,Donaldsonville,Louisiana,"30.1010323, -90.9928773",NA
764,The Era-leader.,sn88064305,12/1/1910,12/29/1921,Franklinton,Louisiana,"30.8471283, -90.153141",NA
765,The Feliciana Democrat.,sn88067030,1855-04-14,1859-05-07,Clinton,Louisiana,"30.8657362, -91.0156594",NA
