"","Title","LCCN","Start_Date","End_Date","Town","State"
"851","The weekly Ottumwa courier.","sn84027352",1857-01-01,1872-11-21,"Ottumwa","Iowa"
"852","The Abilene reflector.","sn84029385",1883-09-06,1888-04-26,"Abilene","Kansas"
"853","Abilene weekly reflector.","sn84029386",1888-05-03,1922-12-28,"Abilene","Kansas"
"854","The Advocate and news.","sn85032019",1897-11-24,1899-04-12,"Topeka","Kansas"
"855","The advocate and Topeka tribune.","sn85031982",1892-07-27,1894-01-10,"Topeka","Kansas"
"856","The advocate.","sn85032018",1894-01-17,1897-11-17,"Topeka","Kansas"
"857","The advocate.","sn85029079",1889-08-10,1892-07-20,"Meriden","Kansas"
"858","Barbour County index.","sn82015080",1880-12-16,1910-12-28,"Medicine Lodge","Kansas"
"859","Barton County democrat.","sn83040198",1886-11-11,1915-02-12,"Great Bend","Kansas"
"860","Baxter Springs news.","sn83040592",1890-01-04,1919-07-25,"Baxter Springs","Kansas"
"861","The Big blue union.","sn84027640",1862-03-29,1866-05-19,"Marysville","Kansas"
"862","The Chanute times.","sn85030529",1897-01-01,1913-07-19,"Chanute","Kansas"
"863","The daily eagle.","sn83045705",1884-05-20,1884-06-07,"Wichita","Kansas"
"864","Dodge City times.","sn84029838",1876-10-14,1891-12-18,"Dodge City","Kansas"
"865","The Emporia news.","sn82016419",1859-08-13,1881-06-09,"Emporia","Kansas"
"866","The Emporia weekly news.","sn85030221",1881-06-16,1889-12-19,"Emporia","Kansas"
"867","Free press.","sn84029696",1899-01-07,1908-06-06,"Hays","Kansas"
"868","Freeman's champion.","sn95063180",1857-06-25,1858-09-16,"Prairie City","Kansas"
"869","The Globe-republican.","sn84029853",1889-10-23,1910-06-16,"Dodge City","Kansas"
"870","The Goodland republic.","sn85030821",1891-10-16,1907-05-31,"Goodland","Kansas"
"871","The Hays free press.","sn84029690",1908-06-13,1922-10-26,"Hays","Kansas"
"872","Hutchinson gazette.","sn85030687",1895-01-17,1902-02-27,"Hutchinson","Kansas"
"873","The independent.","sn85029094",1860-07-11,1865-12-30,"Oskaloosa","Kansas"
"874","The Iola register.","sn83040340",1875-01-02,1902-08-22,"Iola","Kansas"
"875","Kansas agitator.","sn83040052",1890-06-07,1905-05-19,"Garnett","Kansas"
"876","The Kansas herald of freedom.","sn82006863",1854-10-21,1859-12-17,"Wakarusa","Kansas"
"877","Kansas weekly herald.","sn85029297",1854-09-15,1855-09-08,"Leavenworth","Kansas"
"878","The Kanzas news.","sn85030219",1857-06-06,1859-08-06,"Emporia","Kansas"
"879","The Kinsley graphic.","sn84029671",1890-05-23,1904-07-29,"Kinsley","Kansas"
"880","The Leavenworth weekly times.","sn84027691",1870-07-07,1880-01-01,"Leavenworth","Kansas"
"881","The Liberal democrat.","sn85029856",1911-01-06,1922-12-28,"Liberal","Kansas"
"882","Meade County news.","sn85030287",1900-01-11,1918-10-03,"Meade","Kansas"
"883","People's voice.","sn85032801",1892-04-01,1900-12-27,"Wellington","Kansas"
"884","Phillipsburg herald.","sn85029677",1882-09-07,1905-04-13,"Phillipsburg","Kansas"
"885","The Saline County journal.","sn84027670",1871-03-02,1893-03-09,"Salina","Kansas"
"886","The Smoky Hill and Republican union.","sn84030186",1861-09-12,1864-11-19,"Junction City","Kansas"
"887","Squatter sovereign.","sn82015827",1855-02-03,1857-12-05,"Atchison","Kansas"
"888","Thomas County cat.","sn85032814",1885-03-12,1891-02-05,"Colby","Kansas"
"889","The Topeka state journal.","sn82016014",1894-01-01,1922-12-30,"Topeka","Kansas"
"890","The Weekly Kansas chief.","sn82015484",1872-07-11,1883-05-31,"Troy","Kansas"
"891","Western Kansas world.","sn82015485",1885-03-21,1921-09-29,"WaKeeney","Kansas"
"892","White Cloud Kansas chief.","sn82015486",1857-06-04,1872-07-04,"White Cloud","Kansas"
"893","The Wichita city eagle.","sn85032573",1872-04-12,1883-04-12,"Wichita","Kansas"
"894","The Wichita daily eagle.","sn82014635",1890-03-18,1904-05-29,"Wichita","Kansas"
"895","Wichita daily eagle.","sn83045789",1884-06-08,1886-08-17,"Wichita","Kansas"
"896","Wichita eagle.","sn85032490",1886-08-18,1890-03-16,"Wichita","Kansas"
"897","Wichita eagle.","sn85032575",1883-04-19,1885-11-27,"Wichita","Kansas"
"898","The Adair County news.","sn86069496",1900-01-03,1922-12-26,"Columbia","Kentucky"
"899","American Baptist.","sn93062854",1903-04-10,1904-12-23,"Louisville","Kentucky"
"900","The bee.","sn87060004",1892-04-28,1916-12-29,"Earlington","Kentucky"
"901","The Big Sandy news.","sn83004226",1885-08-27,1922-12-29,"Louisa","Kentucky"
"902","Blue-grass blade.","sn86069867",1886-02-06,1910-08-21,"Lexington","Kentucky"
"903","The Bourbon news.","sn86069873",1897-01-01,1922-12-29,"Paris","Kentucky"
"904","The Bourbon news.","sn86069871",1882-03-07,1883-07-31,"Millersburg","Kentucky"
"905","Breathitt County news.","sn86069667",1903-05-29,1909-09-03,"Jackson","Kentucky"
"906","The Breckenridge news.","sn86069309",1878-07-17,1921-06-22,"Cloverport","Kentucky"
"907","The central record.","sn86069201",1898-01-07,1922-12-28,"Lancaster","Kentucky"
"908","The citizen.","sn85052076",1899-06-21,1922-12-28,"Berea","Kentucky"
"909","The Clay City times.","sn86069657",1901-11-28,1922-12-28,"Clay City","Kentucky"
"910","The Climax-Madisonian.","sn86069164",1914-10-07,1917-04-18,"Richmond","Kentucky"
"911","The climax.","sn86069161",1887-06-22,1897-03-03,"Richmond","Kentucky"
"912","The Crittenden press.","sn86069461",1919-08-07,1922-12-22,"Marion","Kentucky"
"913","Crittenden press.","sn86069457",1886-03-18,1907-02-07,"Marion","Kentucky"
"914","Crittenden record-press.","sn86069460",1909-09-23,1918-08-29,"Marion","Kentucky"
"915","The Crittenden record.","sn86069456",1904-07-15,1907-02-08,"Marion","Kentucky"
"916","Crittenden record=press.","sn86069458",1907-02-14,1909-08-05,"Marion","Kentucky"
"917","Daily evening bulletin.","sn86069124",1881-11-23,1882-02-17,"Maysville","Kentucky"
"918","Daily evening bulletin.","sn87060189",1883-03-26,1887-11-01,"Maysville","Kentucky"
"919","The daily Kentuckian.","sn86069396",1898-04-29,1898-08-13,"Hopkinsville","Kentucky"
"920","Daily Kentuckian.","sn86069397",1918-03-09,1918-08-29,"Hopkinsville","Kentucky"
"921","Daily public ledger.","sn86069117",1892-04-06,1912-12-20,"Maysville","Kentucky"
"922","Daily south Kentuckian.","sn86069393",1884-10-01,1885-10-03,"Hopkinsville","Kentucky"
"923","The dollar weekly bulletin.","sn86069123",1862-06-19,1864-04-28,"Maysville","Kentucky"
"924","Evening bulletin.","sn86069125",1882-02-18,1883-03-24,"Maysville","Kentucky"
"925","The evening bulletin.","sn87060190",1887-11-02,1904-12-31,"Maysville","Kentucky"
"926","The examiner.","sn82015050",1847-06-19,1849-12-08,"Louisville","Kentucky"
"927","The Frankfort roundabout.","sn86069848",1882-09-23,1908-02-29,"Frankfort","Kentucky"
"928","Frankfort weekly news and roundabout.","sn86069849",1908-03-07,1908-09-05,"Frankfort","Kentucky"
"929","The Hartford herald.","sn84037890",1875-01-06,1922-12-27,"Hartford","Kentucky"
"930","The Hartford republican.","sn86069313",1891-12-18,1922-12-29,"Hartford","Kentucky"
"931","The Hazel Green herald.","sn86063242",1885-03-04,1917-07-26,"Hazel Green","Kentucky"
"932","The Hickman courier.","sn85052141",1868-04-18,1922-12-21,"Hickman","Kentucky"
"933","Hopkinsville Kentuckian.","sn86069395",1889-01-11,1918-03-07,"Hopkinsville","Kentucky"
"934","The interior journal.","sn84038328",1872-03-08,1881-12-16,"Stanford","Kentucky"
"935","The interior journal.","sn85052021",1905-04-07,1910-12-27,"Stanford","Kentucky"
"936","The interior journal.","sn85052023",1912-03-26,1918-11-15,"Stanford","Kentucky"
"937","It.","sn86069240",1902-11-27,1903-02-19,"Lawrenceburg","Kentucky"
"938","The Kentuckian.","sn86069398",1919-04-05,1919-12-25,"Hopkinsville","Kentucky"
"939","Kentucky Irish American.","sn86069180",1898-07-04,1921-12-31,"Louisville","Kentucky"
"940","The Kentucky register.","sn86069167",1916-10-27,1917-04-13,"Richmond","Kentucky"
"941","Kentucky reporter.","sn86069325",1902-03-22,1902-03-22,"Owensboro","Kentucky"
"942","The Kentucky vindicator.","sn2007058208",1901-06-26,1901-06-26,"Owenboro","Kentucky"
"943","The Lexington record.","sn86069074",1890-10-01,1891-05-01,"Lexington","Kentucky"
"944","The Lexington standard.","sn83025729",1900-01-27,1911-12-16,"Lexington","Kentucky"
"945","Lexington weekly news.","sn86069070",1912-03-15,1912-08-17,"Lexington","Kentucky"
"946","Liberty.","sn88061275",1910-02-16,1910-02-16,"La Center","Kentucky"
"947","Licking Valley courier.","sn86069643",1911-01-05,1922-12-28,"West Liberty","Kentucky"
"948","The Madisonian.","sn86069163",1913-01-01,1914-09-29,"Richmond","Kentucky"
"949","Maysville weekly bulletin.","sn84038223",1864-05-06,1864-10-27,"Maysville","Kentucky"
"950","Mount Vernon signal.","sn86069561",1896-12-11,1922-12-15,"Mt. Vernon","Kentucky"
"951","Mountain advocate.","sn87060032",1904-02-19,1922-12-29,"Barbourville","Kentucky"
"952","The mountain signal.","sn86069560",1888-02-24,1889-05-03,"Mount Vernon","Kentucky"
"953","The Mt. Sterling advocate.","sn86069675",1891-02-03,1922-12-28,"Mt. Sterling","Kentucky"
"954","Ohio valley worker : official paper of the Federated Trades Council of Louisville, Trades and Labor Council of New Albany, Central Labor Union of Jeffersonville.","sn2007058207",1904-09-10,1904-09-10,"Louisville","Kentucky"
"955","Owingsville outlook.","sn86069620",1884-08-28,1922-11-30,"Owingsville","Kentucky"
"956","The Paducah daily sun.","sn85052118",1896-11-09,1898-12-14,"Paducah","Kentucky"
"957","The Paducah evening sun.","sn85052114",1906-05-17,1910-12-31,"Paducah","Kentucky"
"958","The Paducah sun.","sn85052116",1898-12-15,1906-05-16,"Paducah","Kentucky"
"959","Paducah sun.","sn85052117",1901-01-10,1902-06-04,"Paducah","Kentucky"
"960","The Paducah weekly sun.","sn85052115",1906-09-05,1906-12-26,"Paducah","Kentucky"
"961","The public ledger.","sn85038022",1914-01-05,1922-12-30,"Maysville","Kentucky"
"962","The record.","sn87060049",1899-02-09,1920-12-09,"Greenville","Kentucky"
"963","The Richmond climax.","sn86069162",1897-03-10,1914-09-30,"Richmond","Kentucky"
"964","The Richmond climax.","sn86069165",1917-10-31,1917-10-31,"Richmond","Kentucky"
"965","Richmond daily register.","sn86069168",1918-01-18,1922-12-22,"Richmond","Kentucky"
"966","Semi-weekly Bourbon news.","sn86069872",1883-08-03,1883-12-25,"Paris","Kentucky"
"967","Semi-weekly interior journal.","sn85052020",1881-12-20,1905-04-04,"Stanford","Kentucky"
"968","Semi-weekly south Kentuckian.","sn86069394",1883-11-09,1889-01-08,"Hopkinsville","Kentucky"
"969","The south Kentuckian.","sn86069392",1879-02-18,1883-10-30,"Hopkinsville","Kentucky"
"970","The Spout Spring times.","sn88061168",1896-01-18,1902-04-17,"Spout Spring","Kentucky"
"971","The Stanford interior journal.","sn85052022",1911-01-06,1912-03-22,"Stanford","Kentucky"
"972","The Sunday chat.","sn85052182",1901-03-31,1901-06-09,"Paducah","Kentucky"
"973","Twice-a-week record-press.","sn86069459",1909-08-10,1909-09-17,"Marion","Kentucky"
"974","The Weekly roundabout.","sn86069847",1879-01-11,1882-12-30,"Frankfort","Kentucky"
"975","The Winchester news.","sn86069133",1908-10-12,1912-02-29,"Winchester","Kentucky"
"976","Abbeville progress.","sn88064057",1913-03-01,1921-12-31,"Abbeville","Louisiana"
"977","The American patriot.","sn88064450",1854-12-27,1856-01-12,"Clinton","Louisiana"
"978","The Avoyelles pelican.","sn89059000",1861-03-16,1864-01-16,"Marksville","Louisiana"
"979","The Banner-Democrat.","sn88064237",1892-08-06,1909-09-15,"Lake Providence","Louisiana"
"980","Baton Rouge tri-weekly gazette & comet.","sn86053661",1865-07-01,1869-06-10,"Baton Rouge","Louisiana"
"981","Baton-Rouge gazette.","sn82003383",1837-06-10,1853-01-29,"Baton-Rouge","Louisiana"
"982","The Bienville Democrat.","sn88064069",1919-04-03,1922-12-28,"Arcadia","Louisiana"
"983","Bogalusa enterprise and American.","sn88064055",1918-07-04,1922-12-28,"Bogalusa","Louisiana"
"984","Bogalusa enterprise.","sn88064054",1914-12-31,1916-12-28,"Bogalusa","Louisiana"
"985","The Bossier banner.","sn85034235",1859-07-01,1922-12-28,"Bellevue","Louisiana"
"986","The Caldwell watchman.","sn88064181",1894-03-23,1916-12-29,"Columbia","Louisiana"
"987","The Carrollton sun.","sn88064165",1860-06-30,1861-06-01,"City of Carrollton","Louisiana"
"988","The Caucasian.","sn88064469",1900-11-25,1920-01-16,"Shreveport","Louisiana"
"989","The Caucasian.","sn86053765",1874-04-04,1875-03-27,"Alexandria","Louisiana"
"990","Claiborne guardian.","sn88064118",1877-08-22,1883-01-16,"Homer","Louisiana"
"991","The Colfax chronicle.","sn88064176",1877-11-09,1922-12-30,"Colfax","Louisiana"
"992","The Colfax chronicle.","sn88064175",1876-07-15,1877-09-15,"Colfax","Louisiana"
"993","The Comrade.","sn88064358",1894-12-13,1911-09-08,"Winnfield","Louisiana"
"994","The Concordia eagle.","sn83016716",1875-10-02,1885-07-04,"Vidalia","Louisiana"
"995","The Concordia sentinel.","sn87090135",1911-09-09,1921-12-31,"Vidalia","Louisiana"
"996","The Constitutional.","sn85038570",1860-08-04,1861-06-01,"Alexandria","Louisiana"
"997","The daily comet.","sn83016548",1852-09-01,1856-02-02,"Baton Rouge","Louisiana"
"998","The daily crescent.","sn82015378",1848-03-05,1851-12-20,"New Orleans","Louisiana"
"999","Daily gazette and comet.","sn88083120",1860-01-03,1860-12-29,"Baton Rouge","Louisiana"
"1000","The Daily telegraph.","sn88064499",1870-12-13,1886-07-05,"Monroe","Louisiana"
"1001","The Donaldsonville chief.","sn85034248",1871-09-16,1922-12-30,"Donaldsonville","Louisiana"
"1002","The Era-leader.","sn88064305",1910-12-01,1921-12-29,"Franklinton","Louisiana"
"1003","The Feliciana Democrat.","sn88067030",1855-04-14,1859-05-07,"Clinton","Louisiana"
"1004","Feliciana sentinel.","sn88064555",1877-08-18,1892-12-03,"St. Francisville","Louisiana"
"1005","Gazette and sentinel.","sn86053832",1860-01-07,1861-07-27,"Plaquemine","Louisiana"
"1006","The herald.","sn88064020",1911-01-05,1922-12-28,"New Orleans","Louisiana"
"1007","The Home advocate.","sn88064297",1885-02-11,1887-06-10,"Farmerville","Louisiana"
"1008","Homer guardian.","sn88064119",1888-10-05,1890-06-13,"Homer","Louisiana"
"1009","Houma Ceres.","sn83026391",1855-07-19,1858-12-25,"Houma","Louisiana"
"1010","The Houma courier.","sn88064122",1879-01-18,1920-10-30,"Houma","Louisiana"
"1011","The independent.","sn88064150",1853-11-09,1861-05-08,"Harrisonburg","Louisiana"
"1012","The Jennings daily record.","sn88064676",1901-10-26,1902-12-31,"Jennings","Louisiana"
"1013","The Lafayette advertiser.","sn86079068",1869-01-02,1914-04-21,"Vermilionville","Louisiana"
"1014","The Lafayette gazette.","sn88064111",1893-03-11,1903-12-26,"Lafayette","Louisiana"
"1015","Lake Charles commercial.","2013271051",1881-07-09,1897-06-12,"Lake Charles","Louisiana"
"1016","The Lake Charles echo.","sn86053696",1876-06-01,1894-12-21,"Lake Charles","Louisiana"
"1017","The Llano colonist.","sn93062881",1922-03-11,1922-12-30,"Llano","Louisiana"
"1018","Louisiana capitolian.","sn88064592",1879-02-08,1881-12-31,"Baton Rouge","Louisiana"
"1019","The Louisiana cotton-boll.","sn86079083",1873-02-19,1879-12-18,"Vermilionville","Louisiana"
"1020","The Louisiana Democrat.","sn82003389",1859-07-13,1903-08-05,"Alexandria","Louisiana"
"1021","The Louisiana populist.","sn88071004",1894-08-24,1898-03-11,"Natchitoches","Louisiana"
"1022","Le Louisianais.","sn82015038",1865-10-28,1881-02-12,"Convent","Louisiana"
"1023","The Louisianian.","sn83016630",1870-12-18,1871-05-07,"New Orleans","Louisiana"
"1024","Lower coast gazette.","sn88064433",1909-01-02,1914-12-26,"Pointe-a-la-Hache","Louisiana"
"1025","The Lumberjack.","sn88064459",1913-01-09,1913-07-10,"Alexandria","Louisiana"
"1026","The Madison journal.","sn88064430",1889-04-13,1921-12-31,"Tallulah","Louisiana"
"1027","Madison times.","sn88064405",1884-03-15,1888-05-12,"Tallulah","Louisiana"
"1028","The Meridional.","sn88064005",1877-12-22,1905-12-30,"Abbeville","Louisiana"
"1029","Le Meschacébé.","sn86079080",1854-01-29,1922-12-23,"Lucy] La.","Louisiana"
"1030","Le messager.","sn84020177",1851-02-22,1855-09-08,"Bringier","Louisiana"
"1031","The Morehouse clarion.","sn86053659",1880-01-02,1895-08-30,"Bastrop","Louisiana"
"1032","The Morgan City daily review.","sn88064293",1916-08-14,1919-06-30,"Morgan City","Louisiana"
"1033","The morning comet.","sn88064473",1856-02-05,1856-12-27,"Baton Rouge","Louisiana"
"1034","The morning star and Catholic messenger.","sn86086284",1868-02-09,1879-02-02,"New Orleans","Louisiana"
"1035","The Natchitoches enterprise.","sn88064317",1889-07-25,1922-11-30,"Natchitoches","Louisiana"
"1036","Natchitoches populist.","sn88064439",1898-03-18,1899-03-10,"Natchitoches","Louisiana"
"1037","Natchitoches spectator.","sn88064630",1867-12-05,1868-08-25,"Natchitoches","Louisiana"
"1038","Natchitoches union.","sn84020181",1861-10-24,1862-12-25,"Natchitoches","Louisiana"
"1039","New Iberia enterprise and independent observer.","sn88064328",1902-03-15,1921-12-10,"New Iberia","Louisiana"
"1040","New Iberia enterprise.","sn88064327",1885-02-07,1902-02-22,"New Iberia","Louisiana"
"1041","The New Orleans bulletin.","sn86079018",1874-03-25,1876-03-31,"New Orleans","Louisiana"
"1042","The New Orleans crescent.","sn82015775",1868-01-01,1869-04-18,"New Orleans","Louisiana"
"1043","New Orleans daily crescent.","sn82015753",1852-01-01,1866-11-21,"New Orleans","Louisiana"
"1044","The New Orleans daily Democrat.","sn83026413",1877-02-01,1880-04-21,"New Orleans","Louisiana"
"1045","The New Orleans Democrat.","sn88064616",1875-12-19,1876-08-31,"New Orleans","Louisiana"
"1046","New Orleans Republican.","sn83016555",1867-05-01,1878-11-10,"New Orleans","Louisiana"
"1047","The Opelousas courier.","sn83026389",1852-12-11,1910-02-05,"Opelousas","Louisiana"
"1048","The Opelousas journal.","sn86079077",1868-01-04,1878-01-05,"Opelousas","Louisiana"
"1049","The Opelousas patriot.","sn86079076",1855-03-03,1861-10-12,"Opelousas","Louisiana"
"1050","The Ouachita telegraph.","sn85034336",1869-09-25,1889-12-28,"Monroe","Louisiana"
"1051","The patriot.","sn88064299",1918-05-03,1922-12-15,"Glenmora","Louisiana"
"1052","El Pelayo.","sn88064368",1851-09-17,1851-12-28,"Nueva-Orleans","Louisiana"
"1053","The People's vindicator.","sn85038558",1874-06-20,1883-03-10,"Natchitoches","Louisiana"
"1054","Pioneer of Assumption.","sn88064275",1877-06-16,1879-12-27,"Napoleonville","Louisiana"
"1055","Le pionnier de l'Assomption.","sn86090609",1850-09-08,1855-12-10,"Napoleonville","Louisiana"
"1056","The Planters' banner.","sn86053688",1849-01-04,1872-04-17,"Franklin","Louisiana"
"1057","Pointe Coupee Democrat.","sn86053686",1858-01-23,1862-03-01,"False River","Louisiana"
"1058","The Progress.","sn88064460",1892-02-06,1898-12-31,"Shreveport","Louisiana"
"1059","Rapides gazette.","sn86090827",1871-12-23,1873-12-27,"Alexandria","Louisiana"
"1060","The register.","sn87091084",1859-12-01,1860-11-22,"Monroe","Louisiana"
"1061","The Rice belt journal.","sn88064402",1900-08-10,1921-12-31,"Welsh","Louisiana"
"1062","Richland beacon.","sn86079088",1872-09-07,1889-12-14,"Rayville","Louisiana"
"1063","Semi-weekly Louisianian.","sn83016631",1871-05-11,1872-02-25,"New Orleans","Louisiana"
"1064","The Semi-weekly Natchitoches times.","sn86053712",1866-01-03,1867-06-12,"Natchitoches","Louisiana"
"1065","Semi-weekly news.","sn88064481",1865-03-11,1865-05-18,"Shreveport","Louisiana"
"1066","The semi-weekly Republican.","sn89059463",1872-03-08,1872-11-02,"St. Francisville","Louisiana"
"1067","The Semi-weekly Shreveport news.","sn86079090",1862-01-28,1864-02-26,"Shreveport","Louisiana"
"1068","La sentinelle de Thibodaux.","sn86053854",1863-02-07,1866-06-02,"Thibodaux","Louisiana"
"1069","Shreveport daily news.","sn88064478",1861-04-13,1861-11-06,"Shreveport","Louisiana"
"1070","Shreveport news.","sn83016485",1864-03-08,1865-06-10,"Shreveport","Louisiana"
"1071","Shreveport semi-weekly news.","sn83016484",1865-06-13,1866-06-26,"Shreveport","Louisiana"
"1072","Shreveport semi-weekly news.","sn88064479",1861-11-11,1862-01-24,"Shreveport","Louisiana"
"1073","Shreveport weekly news.","sn88064482",1866-03-25,1866-04-29,"Shreveport","Louisiana"
"1074","Shreveport weekly news.","sn88064480",1863-02-09,1865-03-25,"Shreveport","Louisiana"
"1075","The Shreveport weekly news.","sn88064477",1861-04-22,1861-11-04,"Shreveport","Louisiana"
"1076","The south-western.","sn83016483",1854-08-23,1870-11-30,"Shreveport","Louisiana"
"1077","The southern sentinel.","sn88064428",1861-07-10,1909-04-09,"Winnfield","Louisiana"
"1078","Southern sentinel.","sn88064476",1848-08-10,1858-02-17,"Plaquemine","Louisiana"
"1079","The St. Charles herald.","sn85034322",1875-09-25,1922-12-30,"Hahnville","Louisiana"
"1080","St. Landry clarion.","sn88064250",1890-10-11,1921-11-19,"Opelousas","Louisiana"
"1081","St. Landry democrat.","sn88064537",1878-01-19,1894-02-24,"Opelousas","Louisiana"
"1082","The St. Landry whig.","sn83016702",1844-09-05,1846-07-18,"Opelousas","Louisiana"
"1083","The St. Mary banner.","sn88064384",1890-03-08,1922-12-30,"Franklin","Louisiana"
"1084","St. Tammany farmer.","sn82015387",1878-10-26,1922-12-30,"Covington","Louisiana"
"1085","The star-progress.","sn88064249",1919-10-04,1921-11-09,"Opelousas","Louisiana"
"1086","Sugar planter.","sn86079096",1856-01-05,1919-12-13,"West Baton Rouge","Louisiana"
"1087","Tensas gazette.","sn87090131",1894-01-05,1922-12-29,"St. Joseph","Louisiana"
"1088","Thibodaux commercial journal.","sn88064094",1910-03-09,1922-12-30,"Thibodaux","Louisiana"
"1089","Thibodaux minerva.","sn86079110",1853-06-11,1856-06-07,"Thibodaux","Louisiana"
"1090","The Thibodaux sentinel.","sn88064491",1908-01-04,1912-12-07,"Thibodaux","Louisiana"
"1091","True American.","sn83016527",1837-02-25,1839-12-31,"New Orleans","Louisiana"
"1092","The true Democrat.","sn88064339",1896-07-04,1919-06-28,"Bayou Sara","Louisiana"
"1093","Vernon Parish Democrat.","sn88064278",1919-05-24,1922-06-08,"Leesville","Louisiana"
"1094","The Voice of the people.","sn88064458",1913-07-17,1914-11-26,"New Orleans","Louisiana"
"1095","The Weekly comet.","sn86053662",1853-05-29,1855-12-30,"Baton Rouge","Louisiana"
"1096","The weekly echo.","sn85034325",1868-02-15,1876-05-25,"Lake Charles","Louisiana"
"1097","The weekly Iberian.","sn88064323",1899-11-29,1922-12-30,"New Iberia","Louisiana"
"1098","The weekly Louisianian.","sn83016632",1872-04-27,1882-06-17,"New Orleans","Louisiana"
"1099","The weekly messenger.","sn88064454",1886-03-20,1919-12-27,"St. Martinsville","Louisiana"
"1100","The weekly Thibodaux sentinel and journal of the 8th Senatorial District. [volume] (Thibodaux, Lna.","sn88064492",1876-01-01,1898-03-05,"Thibodaux","Louisiana"
"1101","The weekly Thibodaux sentinel.","sn88064490",1900-01-06,1903-12-26,"Thibodaux","Louisiana"
"1102","West Feliciana sentinel.","sn88064554",1876-08-30,1877-08-11,"St. Francisville","Louisiana"
"1103","Woman's enterprise.","sn89059303",1921-07-22,1922-12-15,"Baton Rouge","Louisiana"
"1104","Casco Bay breeze.","sn95068036",1903-07-30,1917-09-06,"South Harpswell","Maine"
"1105","Daily Kennebec journal.","sn82014248",1870-01-01,1870-12-15,"Augusta","Maine"
"1106","Eastern times.","sn82014356",1850-03-14,1856-04-24,"Bath","Maine"
"1107","Ellsworth American.","sn84022374",1855-01-12,1902-12-31,"Ellsworth","Maine"
"1108","Lincoln telegraph.","sn82014358",1838-04-05,1842-03-24,"Bath","Maine"
"1109","The Northern tribune.","sn82014359",1847-04-27,1848-05-13,"Bath","Maine"
"1110","Oxford Democrat.","sn83009653",1850-01-01,1921-12-27,"Paris","Maine"
"1111","The Portland daily press.","sn83016025",1862-06-23,1901-02-28,"Portland","Maine"
"1112","Portland gazette, and Maine advertiser.","sn83016082",1810-01-01,1814-03-07,"Portland","Maine"
"1113","The Portland gazette.","sn83016083",1819-05-18,1824-09-21,"Portland","Maine"
"1114","The Republican journal.","sn78000873",1869-01-07,1922-12-28,"Belfast","Maine"
"1115","The Union and eastern journal.","sn83021380",1854-02-03,1858-05-28,"Biddeford","Maine"
"1116","The Union and journal.","sn83009571",1860-01-06,1870-12-30,"Biddeford","Maine"
"1117","The aegis & intelligencer.","sn83016107",1864-03-18,1922-12-29,"Bel Air","Maryland"
"1118","American Republican and Baltimore daily clipper.","sn83009567",1844-11-11,1846-12-31,"Baltimore","Maryland"
"1119","Baltimore commercial journal, and Lyford's price-current.","sn83009597",1847-01-23,1849-12-08,"Baltimore","Maryland"
"1120","The Baltimore County union, the Towson news.","sn88065091",1909-09-04,1909-12-25,"Towson","Maryland"
"1121","The Baltimore County union.","sn83016368",1865-01-07,1909-08-28,"Towsontown","Maryland"
"1122","Baltimore daily commercial.","sn83009569",1865-10-02,1866-06-30,"Baltimore","Maryland"
"1123","Catoctin clarion.","sn84026688",1871-03-04,1923-06-28,"Mechanicstown","Maryland"
"1124","The Cecil Whig.","sn83016348",1841-08-07,1920-12-25,"Elkton","Maryland"
"1125","The CIO news.","sn89060376",1942-08-17,1944-12-18,"Cumberland","Maryland"
"1126","The citizen.","sn89060092",1895-03-01,1915-09-10,"Frederick City","Maryland"
"1127","Civilian & telegraph.","sn83016179",1859-03-17,1865-12-28,"Cumberland","Maryland"
"1128","Czas Baltimorski.","sn88065178",1940-08-15,1941-01-23,"Baltimore","Maryland"
"1129","The daily banner.","sn88065731",1907-06-03,1922-12-30,"Cambridge","Maryland"
"1130","The daily exchange.","sn83009573",1858-02-22,1861-09-14,"Baltimore","Maryland"
"1131","The Democratic advocate.","sn85038292",1865-11-30,1922-12-29,"Westminster","Maryland"
"1132","Democratic messenger.","sn84026758",1881-03-12,1922-12-30,"Snow Hill","Maryland"
"1133","Der Deutsche correspondent.","sn83045081",1858-01-01,1918-04-28,"Baltimore","Maryland"
"1134","Der Deutsche correspondent.","sn83016118",1874-01-02,1912-10-18,"Baltimore","Maryland"
"1135","Evening capital and Maryland gazette.","sn88065726",1910-06-14,1922-08-02,"Annapolis","Maryland"
"1136","Evening capital.","sn83009667",1922-08-03,1923-05-25,"Annapolis","Maryland"
"1137","Evening capital.","sn88065721",1884-05-14,1907-12-10,"Annapolis","Maryland"
"1138","Frederick citizen.","sn90057160",1895-01-04,1895-02-22,"Frederick City","Maryland"
"1139","The Frostburg forum.","sn90057198",1899-04-08,1901-06-08,"Frostburg","Maryland"
"1140","The Frostburg gleaner.","sn90057197",1901-08-01,1901-08-08,"Frostburg","Maryland"
"1141","The Frostburg herald.","sn90057196",1904-02-05,1905-08-25,"Frostburg","Maryland"
"1142","Frostburg mining journal.","sn85025350",1871-09-30,1913-04-18,"Frostburg","Maryland"
"1143","Frostburg mining journal.","sn90057212",1916-01-01,1917-06-09,"Frostburg","Maryland"
"1144","The Frostburg news.","sn90057194",1897-03-19,1897-04-23,"Frostburg","Maryland"
"1145","The Frostburg spirit.","sn90057193",1913-09-11,1915-01-28,"Frostburg","Maryland"
